code;term;term_abbrevation;description;is_preferred;is_axis;is_mainclass;relation;association_kind;association_type;association_type_reverse;crossmapping_csv_id;translation_en;metadata_code
T-3167;Loop Coil;;;1;0;0;T-316;2;is part of;is parent of;;loop coil;3167
T-3168;Schulterspule;;;1;0;0;T-316;2;is part of;is parent of;;shoulder coil;3168
T-3169;Knie-/Extrimitätenspule;;;1;0;0;T-316;2;is part of;is parent of;;knee coil;3169
T-316a;Hand Oberflächenspule;;;1;0;0;T-316;2;is part of;is parent of;;hand / small FOV;316a
T-316b;Mammaspule;;;1;0;0;T-316;2;is part of;is parent of;;mamma coil;316b
T-316c;Flex, groß;;;1;0;0;T-316;2;is part of;is parent of;;flexible coil, large;316c
T-316d;Flex, klein;;;1;0;0;T-316;2;is part of;is parent of;;flexible coil, small;316d
T-316e;Endorektalspule;;;1;0;0;T-316;2;is part of;is parent of;;endorectal coil;316e
T-316f;Wrap-Around-Spule;;;1;0;0;T-316;2;is part of;is parent of;;wrap around coil;316f
T-317;FLARE;;;1;0;0;T-31;2;is part of;is parent of;;FLARE;317
T-3170;nicht näher spezifiziert;;;1;0;0;T-317;2;is part of;is parent of;;unspecified;3170
T-3171;Endotechnik(-spule);;;1;0;0;T-317;2;is part of;is parent of;;endo coil;3171
T-3172;Body-Spule;;;1;0;0;T-317;2;is part of;is parent of;;body;3172
T-3173;Body Array;;;1;0;0;T-317;2;is part of;is parent of;;body array;3173
T-3174;Kopfspule;;;1;0;0;T-317;2;is part of;is parent of;;head coil;3174
T-3175;Halsspule;;;1;0;0;T-317;2;is part of;is parent of;;neck coil;3175
T-3176;Wirbelsäulenspule;;;1;0;0;T-317;2;is part of;is parent of;;spine coil;3176
T-3177;Loop Coil;;;1;0;0;T-317;2;is part of;is parent of;;loop coil;3177
T-3178;Schulterspule;;;1;0;0;T-317;2;is part of;is parent of;;shoulder coil;3178
T-3179;Knie-/Extrimitätenspule;;;1;0;0;T-317;2;is part of;is parent of;;knee coil;3179
T-317a;Hand Oberflächenspule;;;1;0;0;T-317;2;is part of;is parent of;;hand / small FOV;317a
T-317b;Mammaspule;;;1;0;0;T-317;2;is part of;is parent of;;mamma coil;317b
T-317c;Flex, groß;;;1;0;0;T-317;2;is part of;is parent of;;flexible coil, large;317c
T-317d;Flex, klein;;;1;0;0;T-317;2;is part of;is parent of;;flexible coil, small;317d
T-317e;Endorektalspule;;;1;0;0;T-317;2;is part of;is parent of;;endorectal coil;317e
T-317f;Wrap-Around-Spule;;;1;0;0;T-317;2;is part of;is parent of;;wrap around coil;317f
T-318;3D-FFE (hochauflösend);;;1;0;0;T-31;2;is part of;is parent of;;3D-FFE high resolution;318
T-3180;nicht näher spezifiziert;;;1;0;0;T-318;2;is part of;is parent of;;unspecified;3180
T-3181;Endotechnik(-spule);;;1;0;0;T-318;2;is part of;is parent of;;endo coil;3181
T-3182;Body-Spule;;;1;0;0;T-318;2;is part of;is parent of;;body;3182
T-3183;Body Array;;;1;0;0;T-318;2;is part of;is parent of;;body array;3183
T-3184;Kopfspule;;;1;0;0;T-318;2;is part of;is parent of;;head coil;3184
T-3185;Halsspule;;;1;0;0;T-318;2;is part of;is parent of;;neck coil;3185
T-3186;Wirbelsäulenspule;;;1;0;0;T-318;2;is part of;is parent of;;spine coil;3186
T-3187;Loop Coil;;;1;0;0;T-318;2;is part of;is parent of;;loop coil;3187
T-3188;Schulterspule;;;1;0;0;T-318;2;is part of;is parent of;;shoulder coil;3188
T-3189;Knie-/Extrimitätenspule;;;1;0;0;T-318;2;is part of;is parent of;;knee coil;3189
T-318a;Hand Oberflächenspule;;;1;0;0;T-318;2;is part of;is parent of;;hand / small FOV;318a
T-318b;Mammaspule;;;1;0;0;T-318;2;is part of;is parent of;;mamma coil;318b
T-318c;Flex, groß;;;1;0;0;T-318;2;is part of;is parent of;;flexible coil, large;318c
T-318d;Flex, klein;;;1;0;0;T-318;2;is part of;is parent of;;flexible coil, small;318d
T-318e;Endorektalspule;;;1;0;0;T-318;2;is part of;is parent of;;endorectal coil;318e
T-318f;Wrap-Around-Spule;;;1;0;0;T-318;2;is part of;is parent of;;wrap around coil;318f
T-32;Spektroskopie;;;1;0;0;T-3;2;is part of;is parent of;;spectroscopy;32
T-320;nicht näher spezifiziert;;;1;0;0;T-32;2;is part of;is parent of;;unspecified;320
T-33;Angiographie;;;1;0;0;T-3;2;is part of;is parent of;;angiography (MRA);33
T-330;nicht näher spezifiziert;;;1;0;0;T-33;2;is part of;is parent of;;unspecified;330
T-34;funktionelle Kernspintomographie;;;1;0;0;T-3;2;is part of;is parent of;;functional MRI (fMRI);34
T-340;nicht näher spezifiziert;;;1;0;0;T-34;2;is part of;is parent of;;unspecified;340
T-35;Mamographie;;;1;0;0;T-3;2;is part of;is parent of;;mamography;35
T-350;nicht näher spezifiziert;;;1;0;0;T-35;2;is part of;is parent of;;unspecified;350
T-4;Nuklearmedizinische Bildgebung;;;1;0;0;T;2;is part of;is parent of;;nuclear medicine imaging;4
T-40;nicht näher spezifiziert;;;1;0;0;T-4;2;is part of;is parent of;;unspecified;40
T-41;Szintillationssonde;;;1;0;0;T-4;2;is part of;is parent of;;scintillation probe;41
T-410;nicht näher spezifiziert;;;1;0;0;T-41;2;is part of;is parent of;;unspecified;410
T-42;Gammakamera;;;1;0;0;T-4;2;is part of;is parent of;;gamma camera;42
T-420;nicht näher spezifiziert;;;1;0;0;T-42;2;is part of;is parent of;;unspecified;420
T-43;SPECT;;;1;0;0;T-4;2;is part of;is parent of;;single photon emission computed tomography (SPECT);43
T-430;nicht näher spezifiziert;;;1;0;0;T-43;2;is part of;is parent of;;unspecified;430
T-44;PET;;;1;0;0;T-4;2;is part of;is parent of;;positron emission tomography (PET);44
T-440;nicht näher spezifiziert;;;1;0;0;T-44;2;is part of;is parent of;;unspecified;440
T-441;PET-CT;;;1;0;0;T-44;2;is part of;is parent of;;PET-CT;441
T-4410;nicht näher spezifiziert;;;1;0;0;T-441;2;is part of;is parent of;;unspecified;4410
T-442;PET-MR;;;1;0;0;T-44;2;is part of;is parent of;;PET-MR;442
T-4420;nicht näher spezifiziert;;;1;0;0;T-442;2;is part of;is parent of;;unspecified;4420
T-5;Optische Verfahren;;;1;0;0;T;2;is part of;is parent of;;optical imaging;5
T-50;nicht näher spezifiziert;;;1;0;0;T-5;2;is part of;is parent of;;unspecified;50
T-51;Endoskopie;;;1;0;0;T-5;2;is part of;is parent of;;endoscopy;51
T-510;nicht näher spezifiziert;;;1;0;0;T-51;2;is part of;is parent of;;unspecified;510
T-511;starr;;;1;0;0;T-51;2;is part of;is parent of;;rigid;511
T-5110;nicht näher spezifiziert;;;1;0;0;T-511;2;is part of;is parent of;;unspecified;5110
T-5111;Dauerlicht;;;1;0;0;T-511;2;is part of;is parent of;;continuous light;5111
T-5112;Stroboskopie;;;1;0;0;T-511;2;is part of;is parent of;;stroboscopy;5112
T-512;flexibel;;;1;0;0;T-51;2;is part of;is parent of;;flexible;512
T-5120;nicht näher spezifiziert;;;1;0;0;T-512;2;is part of;is parent of;;unspecified;5120
T-5121;Dauerlicht;;;1;0;0;T-512;2;is part of;is parent of;;continuous light;5121
T-5122;Stroboskopie;;;1;0;0;T-512;2;is part of;is parent of;;stroboscopy;5122
T-513;stereoskopisch;;;1;0;0;T-51;2;is part of;is parent of;;stereoscopic;513
T-5130;nicht näher spezifiziert;;;1;0;0;T-513;2;is part of;is parent of;;unspecified;5130
T-5131;Dauerlicht;;;1;0;0;T-513;2;is part of;is parent of;;continuous light;5131
T-5132;Stroboskopie;;;1;0;0;T-513;2;is part of;is parent of;;stroboscopy;5132
T-514;durchwandernd;;;1;0;0;T-51;2;is part of;is parent of;;wireless;514
T-5140;nicht näher spezifiziert;;;1;0;0;T-514;2;is part of;is parent of;;unspecified;5140
T-5141;Kapsel (Endowurm);;;1;0;0;T-514;2;is part of;is parent of;;capsule;5141
T-52;Mikroskopie;;;1;0;0;T-5;2;is part of;is parent of;;microscopy;52
T-520;nicht näher spezifiziert;;;1;0;0;T-52;2;is part of;is parent of;;unspecified;520
T-521;einfach;;;1;0;0;T-52;2;is part of;is parent of;;plain;521
T-5210;nicht näher spezifiziert;;;1;0;0;T-521;2;is part of;is parent of;;unspecified;5210
T-522;gefärbt;;;1;0;0;T-52;2;is part of;is parent of;;stained;522
T-5220;nicht näher spezifiziert;;;1;0;0;T-522;2;is part of;is parent of;;unspecified;5220
T-523;Fluoreszenz;;;1;0;0;T-52;2;is part of;is parent of;;fluorescence;523
T-5230;nicht näher spezifiziert;;;1;0;0;T-523;2;is part of;is parent of;;unspecified;5230
T-524;Elektronenmikroskopie;;;1;0;0;T-52;2;is part of;is parent of;;electron;524
T-5240;nicht näher spezifiziert;;;1;0;0;T-524;2;is part of;is parent of;;unspecified;5240
T-53;Photographie;;;1;0;0;T-5;2;is part of;is parent of;;photography;53
T-530;nicht näher spezifiziert;;;1;0;0;T-53;2;is part of;is parent of;;unspecified;530
T-54;Fundoskopie (Auge);;;1;0;0;T-5;2;is part of;is parent of;;funduscopy;54
T-540;nicht näher spezifiziert;;;1;0;0;T-54;2;is part of;is parent of;;unspecified;540
T-55;Laser Surface Scan;;;1;0;0;T-5;2;is part of;is parent of;;laser surface scan;55
T-550;nicht näher spezifiziert;;;1;0;0;T-55;2;is part of;is parent of;;unspecified;550
T-56;Thermographie;;;1;0;0;T-5;2;is part of;is parent of;;thermography;56
T-560;nicht näher spezifiziert;;;1;0;0;T-56;2;is part of;is parent of;;unspecified;560
T-57;Video;;;1;0;0;T-5;2;is part of;is parent of;;moving picture;57
T-570;nicht näher spezifiziert;;;1;0;0;T-57;2;is part of;is parent of;;unspecified;570
T-6;Biophysikalische Verf.;;;1;0;0;T;2;is part of;is parent of;;biophysical procedures;6
T-60;nicht näher spezifiziert;;;1;0;0;T-6;2;is part of;is parent of;;unspecified;60
T-61;elektrisch;;;1;0;0;T-6;2;is part of;is parent of;;electric;61
T-610;nicht näher spezifiziert;;;1;0;0;T-61;2;is part of;is parent of;;unspecified;610
T-62;magnetisch;;;1;0;0;T-6;2;is part of;is parent of;;magnetic;62
T-620;nicht näher spezifiziert;;;1;0;0;T-62;2;is part of;is parent of;;unspecified;620
T-63;Sonden;;;1;0;0;T-6;2;is part of;is parent of;;probes;63
T-630;nicht näher spezifiziert;;;1;0;0;T-63;2;is part of;is parent of;;unspecified;630
T-7;Sonstiges;;;1;0;0;T;2;is part of;is parent of;;others;7
T-70;nicht näher spezifiziert;;;1;0;0;T-7;2;is part of;is parent of;;unspecified;70
T-71;Workstation;;;1;0;0;T-7;2;is part of;is parent of;;workstation;71
T-710;nicht näher spezifiziert;;;1;0;0;T-71;2;is part of;is parent of;;unspecified;710
T-72;Hardcopy;;;1;0;0;T-7;2;is part of;is parent of;;hardcopy;72
T-720;nicht näher spezifiziert;;;1;0;0;T-72;2;is part of;is parent of;;unspecified;720
T-73;Secondary Capture;;;1;0;0;T-7;2;is part of;is parent of;;secondary capture;73
T-730;nicht näher spezifiziert;;;1;0;0;T-73;2;is part of;is parent of;;unspecified;730
T-74;Dokumentation;;;1;0;0;T-7;2;is part of;is parent of;;documentation;74
T-740;nicht näher spezifiziert;;;1;0;0;T-74;2;is part of;is parent of;;unspecified;740
T-741;Wert;;;1;0;0;T-74;2;is part of;is parent of;;value;741
T-7410;nicht näher spezifiziert;;;1;0;0;T-741;2;is part of;is parent of;;unspecified;7410
T-742;Kurve örtlich;;;1;0;0;T-74;2;is part of;is parent of;;curve local;742
T-7420;nicht näher spezifiziert;;;1;0;0;T-742;2;is part of;is parent of;;unspecified;7420
T-743;Kurve zeitlich;;;1;0;0;T-74;2;is part of;is parent of;;curve temporal;743
T-7430;nicht näher spezifiziert;;;1;0;0;T-743;2;is part of;is parent of;;unspecified;7430
T-744;Fläche komplex (3D);;;1;0;0;T-74;2;is part of;is parent of;;area complex (3D);744
T-7440;nicht näher spezifiziert;;;1;0;0;T-744;2;is part of;is parent of;;unspecified;7440
T-745;Bild;;;1;0;0;T-74;2;is part of;is parent of;;picture;745
T-7450;nicht näher spezifiziert;;;1;0;0;T-745;2;is part of;is parent of;;unspecified;7450
T-746;Serie örtlich;;;1;0;0;T-74;2;is part of;is parent of;;local series;746
T-7460;nicht näher spezifiziert;;;1;0;0;T-746;2;is part of;is parent of;;unspecified;7460
T-747;Serie zeitlich;;;1;0;0;T-74;2;is part of;is parent of;;temporal series;747
T-7470;nicht näher spezifiziert;;;1;0;0;T-747;2;is part of;is parent of;;unspecified;7470
T-748;Serie komplex (4D);;;1;0;0;T-74;2;is part of;is parent of;;complex series (4D);748
T-7480;nicht näher spezifiziert;;;1;0;0;T-748;2;is part of;is parent of;;unspecified;7480
T-749;Cine (Aufzeichnung);;;1;0;0;T-74;2;is part of;is parent of;;cine documentation;749
T-7490;nicht näher spezifiziert;;;1;0;0;T-749;2;is part of;is parent of;;unspecified;7490
T-74a;Fluoroskopie;;;1;0;0;T-74;2;is part of;is parent of;;fluoroscopy;74a
T-74a0;nicht näher spezifiziert;;;1;0;0;T-74a;2;is part of;is parent of;;unspecified;74a0
T-74b;Volumen (Datensatz);;;1;0;0;T-74;2;is part of;is parent of;;volume (data set);74b
T-74b0;nicht näher spezifiziert;;;1;0;0;T-74b;2;is part of;is parent of;;unspecified;74b0
T-74c;Volumen zeitlich (Datensatz);;;1;0;0;T-74;2;is part of;is parent of;;volume temporal (data set);74c
T-74c0;nicht näher spezifiziert;;;1;0;0;T-74c;2;is part of;is parent of;;unspecified;74c0
T-8;Sekundärdigitalisierung;;;1;0;0;T;2;is part of;is parent of;;secondary digitalization;8
T-80;nicht näher spezifiziert;;;1;0;0;T-8;2;is part of;is parent of;;unspecified;80
T-81;Laserabtastung;;;1;0;0;T-8;2;is part of;is parent of;;laser sampling;81
T-810;nicht näher spezifiziert;;;1;0;0;T-81;2;is part of;is parent of;;unspecified;810
T-82;LCD-Abtastung;;;1;0;0;T-8;2;is part of;is parent of;;LCD sampling;82
T-820;nicht näher spezifiziert;;;1;0;0;T-82;2;is part of;is parent of;;unspecified;820
T-83;Videodigitalisierung;;;1;0;0;T-8;2;is part of;is parent of;;video digitizing;83
T-830;nicht näher spezifiziert;;;1;0;0;T-83;2;is part of;is parent of;;unspecified;830
T-9;Abbildung;;;1;0;0;T;2;is part of;is parent of;;figure;9
T-90;nicht näher spezifiziert;;;1;0;0;T-9;2;is part of;is parent of;;unspecified;90
T-91;Untersuchungsaufnahme;;;1;0;0;T-9;2;is part of;is parent of;;diagnostic image;91
T-910;nicht näher spezifiziert;;;1;0;0;T-91;2;is part of;is parent of;;unspecified;910
T-911;schwarzweiss;;;1;0;0;T-91;2;is part of;is parent of;;grayscale;911
T-9110;nicht näher spezifiziert;;;1;0;0;T-911;2;is part of;is parent of;;unspecified;9110
T-9111;Original;;;1;0;0;T-911;2;is part of;is parent of;;original;9111
T-9112;Markierung;;;1;0;0;T-911;2;is part of;is parent of;;annotation;9112
T-912;farbig;;;1;0;0;T-91;2;is part of;is parent of;;color;912
T-9120;nicht näher spezifiziert;;;1;0;0;T-912;2;is part of;is parent of;;unspecified;9120
T-9121;Original;;;1;0;0;T-912;2;is part of;is parent of;;original;9121
T-9122;Markierung;;;1;0;0;T-912;2;is part of;is parent of;;annotation;9122
T-92;Untersuchungsvisualisierung;;;1;0;0;T-9;2;is part of;is parent of;;diagnostic visualization;92
T-920;nicht näher spezifiziert;;;1;0;0;T-92;2;is part of;is parent of;;unspecified;920
T-921;schwarzweiss;;;1;0;0;T-92;2;is part of;is parent of;;grayscale;921
T-9210;nicht näher spezifiziert;;;1;0;0;T-921;2;is part of;is parent of;;unspecified;9210
T-922;farbig;;;1;0;0;T-92;2;is part of;is parent of;;color;922
T-9220;nicht näher spezifiziert;;;1;0;0;T-922;2;is part of;is parent of;;unspecified;9220
T-93;Fotographie;;;1;0;0;T-9;2;is part of;is parent of;;photograph;93
T-930;nicht näher spezifiziert;;;1;0;0;T-93;2;is part of;is parent of;;unspecified;930
T-931;schwarzweiss;;;1;0;0;T-93;2;is part of;is parent of;;grayscale;931
T-9310;nicht näher spezifiziert;;;1;0;0;T-931;2;is part of;is parent of;;unspecified;9310
T-9311;Gerät;;;1;0;0;T-931;2;is part of;is parent of;;device;9311
T-9312;Person;;;1;0;0;T-931;2;is part of;is parent of;;person;9312
T-9313;Objekt;;;1;0;0;T-931;2;is part of;is parent of;;object;9313
T-9314;Portrait;;;1;0;0;T-931;2;is part of;is parent of;;portrait;9314
T-9315;sonstige;;;1;0;0;T-931;2;is part of;is parent of;;other;9315
T-932;farbig;;;1;0;0;T-93;2;is part of;is parent of;;color;932
T-9320;nicht näher spezifiziert;;;1;0;0;T-932;2;is part of;is parent of;;unspecified;9320
T-9321;Gerät;;;1;0;0;T-932;2;is part of;is parent of;;device;9321
T-9322;Person;;;1;0;0;T-932;2;is part of;is parent of;;person;9322
T-9323;Objekt;;;1;0;0;T-932;2;is part of;is parent of;;object;9323
T-9324;Portrait;;;1;0;0;T-932;2;is part of;is parent of;;portrait;9324
T-9325;sonstige;;;1;0;0;T-932;2;is part of;is parent of;;other;9325
T-94;Bildschirmfenster;;;1;0;0;T-9;2;is part of;is parent of;;screen shot;94
T-940;nicht näher spezifiziert;;;1;0;0;T-94;2;is part of;is parent of;;unspecified;940
T-941;schwarzweiss;;;1;0;0;T-94;2;is part of;is parent of;;grayscale;941
T-9410;nicht näher spezifiziert;;;1;0;0;T-941;2;is part of;is parent of;;unspecified;9410
T-942;farbig;;;1;0;0;T-94;2;is part of;is parent of;;color;942
T-9420;nicht näher spezifiziert;;;1;0;0;T-942;2;is part of;is parent of;;unspecified;9420
T-95;Graphik;;;1;0;0;T-9;2;is part of;is parent of;;graph;95
T-950;nicht näher spezifiziert;;;1;0;0;T-95;2;is part of;is parent of;;unspecified;950
T-951;schwarzweiss;;;1;0;0;T-95;2;is part of;is parent of;;grayscale;951
T-9510;nicht näher spezifiziert;;;1;0;0;T-951;2;is part of;is parent of;;unspecified;9510
T-952;farbig;;;1;0;0;T-95;2;is part of;is parent of;;color;952
T-9520;nicht näher spezifiziert;;;1;0;0;T-952;2;is part of;is parent of;;unspecified;9520
T-96;Diagramm;;;1;0;0;T-9;2;is part of;is parent of;;diagram;96
T-960;nicht näher spezifiziert;;;1;0;0;T-96;2;is part of;is parent of;;unspecified;960
T-961;schwarzweiss;;;1;0;0;T-96;2;is part of;is parent of;;grayscale;961
T-9610;nicht näher spezifiziert;;;1;0;0;T-961;2;is part of;is parent of;;unspecified;9610
T-962;farbig;;;1;0;0;T-96;2;is part of;is parent of;;color;962
T-9620;nicht näher spezifiziert;;;1;0;0;T-962;2;is part of;is parent of;;unspecified;9620
T-97;Zeichnung;;;1;0;0;T-9;2;is part of;is parent of;;drawing;97
T-970;nicht näher spezifiziert;;;1;0;0;T-97;2;is part of;is parent of;;unspecified;970
T-971;schwarzweiss;;;1;0;0;T-97;2;is part of;is parent of;;grayscale;971
T-9710;nicht näher spezifiziert;;;1;0;0;T-971;2;is part of;is parent of;;unspecified;9710
T-972;farbig;;;1;0;0;T-97;2;is part of;is parent of;;color;972
T-9720;nicht näher spezifiziert;;;1;0;0;T-972;2;is part of;is parent of;;unspecified;9720
T-98;Kollage medizinisch;;;1;0;0;T-9;2;is part of;is parent of;;multi-panel medical;98
T-980;nicht näher spezifiziert;;;1;0;0;T-98;2;is part of;is parent of;;unspecified;980
T-981;schwarzweiss;;;1;0;0;T-98;2;is part of;is parent of;;grayscale;981
T-9810;nicht näher spezifiziert;;;1;0;0;T-981;2;is part of;is parent of;;unspecified;9810
T-9811;1 Teil;;;1;0;0;T-981;2;is part of;is parent of;;1 part;9811
T-9812;2 Teile;;;1;0;0;T-981;2;is part of;is parent of;;2 parts;9812
T-9813;3 Teile;;;1;0;0;T-981;2;is part of;is parent of;;3 parts;9813
T-9814;4 Teile;;;1;0;0;T-981;2;is part of;is parent of;;4 parts;9814
T-9815;5 Teile;;;1;0;0;T-981;2;is part of;is parent of;;5 parts;9815
T-9816;6 Teile;;;1;0;0;T-981;2;is part of;is parent of;;6 parts;9816
T-9817;7 Teile;;;1;0;0;T-981;2;is part of;is parent of;;7 parts;9817
T-9818;8 Teile;;;1;0;0;T-981;2;is part of;is parent of;;8 parts;9818
T-9819;9 Teile;;;1;0;0;T-981;2;is part of;is parent of;;9 parts;9819
T-981a;10 Teile;;;1;0;0;T-981;2;is part of;is parent of;;10 parts;981a
T-981b;11 Teile;;;1;0;0;T-981;2;is part of;is parent of;;11 parts;981b
T-981c;12 Teile;;;1;0;0;T-981;2;is part of;is parent of;;12 parts;981c
T-981d;13 Teile;;;1;0;0;T-981;2;is part of;is parent of;;13 parts;981d
T-981e;14 Teile;;;1;0;0;T-981;2;is part of;is parent of;;14 parts;981e
T-981f;15 Teile;;;1;0;0;T-981;2;is part of;is parent of;;15 parts;981f
T-981g;16 Teile;;;1;0;0;T-981;2;is part of;is parent of;;16 parts;981g
T-981h;17 Teile;;;1;0;0;T-981;2;is part of;is parent of;;17 parts;981h
T-981i;18 Teile;;;1;0;0;T-981;2;is part of;is parent of;;18 parts;981i
T-981j;19 Teile;;;1;0;0;T-981;2;is part of;is parent of;;19 parts;981j
T-981k;20 Teile;;;1;0;0;T-981;2;is part of;is parent of;;20 parts;981k
T-981l;21 Teile;;;1;0;0;T-981;2;is part of;is parent of;;21 parts;981l
T-981m;22 Teile;;;1;0;0;T-981;2;is part of;is parent of;;22 parts;981m
T-981n;23 Teile;;;1;0;0;T-981;2;is part of;is parent of;;23 parts;981n
T-981o;24 Teile;;;1;0;0;T-981;2;is part of;is parent of;;24 parts;981o
T-981p;25 Teile;;;1;0;0;T-981;2;is part of;is parent of;;25 parts;981p
T-982;farbig;;;1;0;0;T-98;2;is part of;is parent of;;color;982
T-9820;nicht näher spezifiziert;;;1;0;0;T-982;2;is part of;is parent of;;unspecified;9820
T-9821;1 Teil;;;1;0;0;T-982;2;is part of;is parent of;;1 part;9821
T-9822;2 Teile;;;1;0;0;T-982;2;is part of;is parent of;;2 parts;9822
T-9823;3 Teile;;;1;0;0;T-982;2;is part of;is parent of;;3 parts;9823
T-9824;4 Teile;;;1;0;0;T-982;2;is part of;is parent of;;4 parts;9824
T-9825;5 Teile;;;1;0;0;T-982;2;is part of;is parent of;;5 parts;9825
T-9826;6 Teile;;;1;0;0;T-982;2;is part of;is parent of;;6 parts;9826
T-9827;7 Teile;;;1;0;0;T-982;2;is part of;is parent of;;7 parts;9827
T-9828;8 Teile;;;1;0;0;T-982;2;is part of;is parent of;;8 parts;9828
T-9829;9 Teile;;;1;0;0;T-982;2;is part of;is parent of;;9 parts;9829
T-982a;10 Teile;;;1;0;0;T-982;2;is part of;is parent of;;10 parts;982a
T-982b;11 Teile;;;1;0;0;T-982;2;is part of;is parent of;;11 parts;982b
T-982c;12 Teile;;;1;0;0;T-982;2;is part of;is parent of;;12 parts;982c
T-982d;13 Teile;;;1;0;0;T-982;2;is part of;is parent of;;13 parts;982d
T-982e;14 Teile;;;1;0;0;T-982;2;is part of;is parent of;;14 parts;982e
T-982f;15 Teile;;;1;0;0;T-982;2;is part of;is parent of;;15 parts;982f
T-982g;16 Teile;;;1;0;0;T-982;2;is part of;is parent of;;16 parts;982g
T-982h;17 Teile;;;1;0;0;T-982;2;is part of;is parent of;;17 parts;982h
T-982i;18 Teile;;;1;0;0;T-982;2;is part of;is parent of;;18 parts;982i
T-982j;19 Teile;;;1;0;0;T-982;2;is part of;is parent of;;19 parts;982j
T-982k;20 Teile;;;1;0;0;T-982;2;is part of;is parent of;;20 parts;982k
T-982l;21 Teile;;;1;0;0;T-982;2;is part of;is parent of;;21 parts;982l
T-982m;22 Teile;;;1;0;0;T-982;2;is part of;is parent of;;22 parts;982m
T-982n;23 Teile;;;1;0;0;T-982;2;is part of;is parent of;;23 parts;982n
T-982o;24 Teile;;;1;0;0;T-982;2;is part of;is parent of;;24 parts;982o
T-982p;25 Teile;;;1;0;0;T-982;2;is part of;is parent of;;25 parts;982p
T-99;Kollage nicht-medizinisch;;;1;0;0;T-9;2;is part of;is parent of;;multi-panel non-medical;99
T-990;nicht näher spezifiziert;;;1;0;0;T-99;2;is part of;is parent of;;unspecified;990
T-991;schwarzweiss;;;1;0;0;T-99;2;is part of;is parent of;;grayscale;991
T-9910;nicht näher spezifiziert;;;1;0;0;T-991;2;is part of;is parent of;;unspecified;9910
T-9911;1 Teil;;;1;0;0;T-991;2;is part of;is parent of;;1 part;9911
T-9912;2 Teile;;;1;0;0;T-991;2;is part of;is parent of;;2 parts;9912
T-9913;3 Teile;;;1;0;0;T-991;2;is part of;is parent of;;3 parts;9913
T-9914;4 Teile;;;1;0;0;T-991;2;is part of;is parent of;;4 parts;9914
T-9915;5 Teile;;;1;0;0;T-991;2;is part of;is parent of;;5 parts;9915
T-9916;6 Teile;;;1;0;0;T-991;2;is part of;is parent of;;6 parts;9916
T-9917;7 Teile;;;1;0;0;T-991;2;is part of;is parent of;;7 parts;9917
T-9918;8 Teile;;;1;0;0;T-991;2;is part of;is parent of;;8 parts;9918
T-9919;9 Teile;;;1;0;0;T-991;2;is part of;is parent of;;9 parts;9919
T-991a;10 Teile;;;1;0;0;T-991;2;is part of;is parent of;;10 parts;991a
T-991b;11 Teile;;;1;0;0;T-991;2;is part of;is parent of;;11 parts;991b
T-991c;12 Teile;;;1;0;0;T-991;2;is part of;is parent of;;12 parts;991c
T-991d;13 Teile;;;1;0;0;T-991;2;is part of;is parent of;;13 parts;991d
T-991e;14 Teile;;;1;0;0;T-991;2;is part of;is parent of;;14 parts;991e
T-991f;15 Teile;;;1;0;0;T-991;2;is part of;is parent of;;15 parts;991f
T-991g;16 Teile;;;1;0;0;T-991;2;is part of;is parent of;;16 parts;991g
T-991h;17 Teile;;;1;0;0;T-991;2;is part of;is parent of;;17 parts;991h
T-991i;18 Teile;;;1;0;0;T-991;2;is part of;is parent of;;18 parts;991i
T-991j;19 Teile;;;1;0;0;T-991;2;is part of;is parent of;;19 parts;991j
T-991k;20 Teile;;;1;0;0;T-991;2;is part of;is parent of;;20 parts;991k
T-991l;21 Teile;;;1;0;0;T-991;2;is part of;is parent of;;21 parts;991l
T-991m;22 Teile;;;1;0;0;T-991;2;is part of;is parent of;;22 parts;991m
T-991n;23 Teile;;;1;0;0;T-991;2;is part of;is parent of;;23 parts;991n
T-991o;24 Teile;;;1;0;0;T-991;2;is part of;is parent of;;24 parts;991o
T-991p;25 Teile;;;1;0;0;T-991;2;is part of;is parent of;;25 parts;991p
T-992;farbig;;;1;0;0;T-99;2;is part of;is parent of;;color;992
T-9920;nicht näher spezifiziert;;;1;0;0;T-992;2;is part of;is parent of;;unspecified;9920
T-9921;1 Teil;;;1;0;0;T-992;2;is part of;is parent of;;1 part;9921
T-9922;2 Teile;;;1;0;0;T-992;2;is part of;is parent of;;2 parts;9922
T-9923;3 Teile;;;1;0;0;T-992;2;is part of;is parent of;;3 parts;9923
T-9924;4 Teile;;;1;0;0;T-992;2;is part of;is parent of;;4 parts;9924
T-9925;5 Teile;;;1;0;0;T-992;2;is part of;is parent of;;5 parts;9925
T-9926;6 Teile;;;1;0;0;T-992;2;is part of;is parent of;;6 parts;9926
T-9927;7 Teile;;;1;0;0;T-992;2;is part of;is parent of;;7 parts;9927
T-9928;8 Teile;;;1;0;0;T-992;2;is part of;is parent of;;8 parts;9928
T-9929;9 Teile;;;1;0;0;T-992;2;is part of;is parent of;;9 parts;9929
T-992a;10 Teile;;;1;0;0;T-992;2;is part of;is parent of;;10 parts;992a
T-992b;11 Teile;;;1;0;0;T-992;2;is part of;is parent of;;11 parts;992b
T-992c;12 Teile;;;1;0;0;T-992;2;is part of;is parent of;;12 parts;992c
